Asignatura,Codigo
AUTOMOTORES,168
PLASTICOS I,169
ELECTRONICA APLICADA EN POTENCIAS ,170
DINAMICA Y CONTROL DE SISTEMAS ELECTRICO DE POTENCIA,171
PROCESAMIENTO DIGITAL DE SEÑALES,172
ARQUITECTURA IP CONVERGENTE,173
FUNDAMENTOS DE PLANTA EXTERNA,174
FISICA 3,175
PROBABILIDAD Y ESTADISTICA ,176
ESTATICA,177
MATERIALES DE OBRAS CIVILES ,178
GEOTECNIA 1,179
MECANICA DE MATERIALES 2,180
HIDRAULICA 1,181
TOPOGRAFIA ,182
ESTRUCTURAS 2,183
VIAS DE COMUNICACION 1,184
HIDRAULICA 2,185
HORMIGON ARMADO 1,186
ELECTROTECNIA E INSTALACIONES ELECTRICAS ,187
CONSTRUCCIONES 2,188
PROGRAMACION Y CONTROL DE OBRA,189
CONSTRUCCIONES 3,190
HIDROTECNIA 2,191
MECANICA DE FLUIDOS,192
MATERIALES DE INGENIERIA,193
TERMODINAMICA,194
CIRCUITOS ELECTRICOS,195
RESISTENCIA DE MATERIALES,196
TECNOLOGIA MECANICA 2,197
MAQUINAS TERMICAS 1,198
DINAMICA DE MAQUINAS Y VIBRACIONES,199
MAQUINAS ELECTRICAS 1,200
MAQUINAS HIDRAULICAS,201
CENTRALES ELECTRICAS,202
TRANSMISION DE ENERGIA ELECTRICA,203
SUBESTACIONES ELECTRICAS,204
AIRE ACONDICIONADO Y REFRIGERACION,205
GESTION DE CALIDAD,206
PROCESAMIENTO ELECTRONICO DE DATOS 1,207
ELECTRICIDAD Y CIRCUITOS ELECTRICOS,208
ELECTRONICA 1,209
DISEÑO LOGICO DIGITAL 1,210
ANALISIS DE SISTEMAS,211
TEORIA DE CIRCUITOS 2,212
TELEFONIA 1,213
SISTEMAS DIGITALES 1,214
ELECTRONICA 3,215
PROPAGACION,216
SISTEMA DE MODULACION 2,217
SISTEMAS DE COMUNICACIONES 1,218
PROCESAMIENTO ELECTRONICO DE DATOS 3,219
INSTRUMENTACION PARA TELECOMUNICACIONES,220
ORGANIZACION DE EMPRESAS 2,221
FISICA GRAVIMETRICA ,222
GEOLOGIA GENERAL ,223
TOPOGRAFIA 2 ,224
SENSORES REMOTOS 1,225
GEOLOGIA DEL PARAGUAY,226
FOTOGRAMETRIA 2 ,227
